ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0:memmgr, tlb_hits, , Accumulator, 1244723355, 0, 40157, 40157, 40157, 1, 1
A0:memmgr, tlb_evicts, , Accumulator, 1244723355, 0, 96721, 96721, 96721, 1, 1
A0:memmgr, tlb_translate_queries, , Accumulator, 1244723355, 0, 141122, 141122, 141122, 1, 1
A0:memmgr, tlb_shootdown, , Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0:memmgr, tlb_page_allocs, , Accumulator, 1244723355, 0, 148, 148, 148, 1, 1
A0, read_requests, 0, Accumulator, 1244723355, 0, 89389, 89389, 89389, 1, 1
A0, write_requests, 0, Accumulator, 1244723355, 0, 43216, 43216, 43216, 1, 1
A0, read_request_sizes, 0, Accumulator, 1244723355, 0, 519996, 4191262, 89389, 1, 64
A0, write_request_sizes, 0, Accumulator, 1244723355, 0, 254016, 2547664, 43216, 1, 64
A0, split_read_requests, 0, Accumulator, 1244723355, 0, 80, 80, 80, 1, 1
A0, split_write_requests, 0, Accumulator, 1244723355, 0, 127, 127, 127, 1, 1
A0, flush_requests, 0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 0, Accumulator, 1244723355, 0, 255937, 255937, 255937, 1, 1
A0, instruction_count, 0, Accumulator, 1244723355, 0, 388542, 388542, 388542, 1, 1
A0, cycles, 0, Accumulator, 1244723355, 0, 2861433, 2861433, 2861433, 1, 1
A0, active_cycles, 0, Accumulator, 1244723355, 0, 598906, 598906, 598906, 1, 1
A0, fp_sp_ins, 0, Accumulator, 1244723355, 0, 9952, 9952, 9952, 1, 1
A0, fp_dp_ins, 0, Accumulator, 1244723355, 0, 731, 731, 731, 1, 1
A0, fp_sp_simd_ins, 0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 0, Accumulator, 1244723355, 0, 494, 494, 494, 1, 1
A0, fp_sp_scalar_ins, 0, Accumulator, 1244723355, 0, 9952, 9952, 9952, 1, 1
A0, fp_dp_scalar_ins, 0, Accumulator, 1244723355, 0, 237, 237, 237, 1, 1
A0, fp_sp_ops, 0, Accumulator, 1244723355, 0, 0, 0, 9952, 0, 0
A0, fp_dp_ops, 0, Accumulator, 1244723355, 0, 0, 0, 237, 0, 0
A0, read_requests, 1, Accumulator, 1244723355, 0, 988, 988, 988, 1, 1
A0, write_requests, 1, Accumulator, 1244723355, 0, 334, 334, 334, 1, 1
A0, read_request_sizes, 1, Accumulator, 1244723355, 0, 7638, 85762, 988, 1, 64
A0, write_request_sizes, 1, Accumulator, 1244723355, 0, 3420, 45808, 334, 4, 64
A0, split_read_requests, 1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 1, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
